year,trademark_class,trademark_filings,rank
2018,Class 33: Alcoholic beverages (except beers) etc.,664,29
2018,Class 6: Common metals and their alloys etc.,529,30
2018,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",470,31
2018,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,435,32
2018,Class 40: Treatment of materials,397,33
2018,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",375,34
2018,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",326,35
2018,"Class 4: Industrial oils and greases, lubricants etc.",323,36
2018,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,279,37
2018,Class 34: Tobacco; smokers' articles; matches,210,38
2018,"Class 2: Paints, varnishes, lacquers etc.",190,39
2018,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",157,40
2018,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",156,41
2018,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",95,42
2018,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,50,43
2018,Class 15: Musical instruments,49,44
2018,"Class 23: Yarns and threads, for textile use",37,45
2019,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",6484,1
2019,Class 35: Advertising; business management; business administration; office functions,5363,2
2019,Class 42: Scientific and technological services and research and design relating thereto etc.,4087,3
2019,Class 41: Education; providing of training; entertainment; sporting and cultural activities,3126,4
2019,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2907,5
2019,Class 5: Pharmaceutical and veterinary preparations etc.,2410,6
2019,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,2141,7
2019,Class 43: Services for providing food and drink; temporary accommodation,2083,8
2019,"Class 25: Clothing, footwear, headgear",1998,9
2019,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1881,10
2019,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1465,11
2019,"Class 16: Paper, cardboard etc.",1329,12
2019,Class 7: Machines and machine tools etc.,1210,13
2019,Class 38: Telecommunications,1204,14
2019,Class 18: Leather and imitations of leather etc.,1105,15
2019,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",1089,16
2019,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,1048,17
2019,Class 37: Building construction; repair; installation services,1024,18
2019,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",997,19
2019,Class 28: Games and playthings; gymnastic and sporting articles etc.,992,20
2019,Class 39: Transport; packaging and storage of goods; travel arrangement,896,21
2019,Class 21: Household or kitchen utensils and containers  etc.,880,22
2019,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,857,23
2019,"Class 12: Vehicles; apparatus for locomotion by land, air or water",817,24
2019,Class 14: Precious metals and their alloys etc.,800,25
2019,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,740,26
2019,Class 1: Chemicals used in industry etc.,714,27
2019,Class 33: Alcoholic beverages (except beers) etc.,692,28
2019,"Class 20: Furniture, mirrors, picture frames etc.",674,29
2019,Class 6: Common metals and their alloys etc.,602,30
2019,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",480,31
2019,Class 40: Treatment of materials,449,32
2019,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",414,33
2019,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,384,34
2019,"Class 4: Industrial oils and greases, lubricants etc.",353,35
2019,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",344,36
2019,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,324,37
2019,Class 34: Tobacco; smokers' articles; matches,323,38
2019,"Class 2: Paints, varnishes, lacquers etc.",225,39
2019,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",134,40
2019,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",117,41
2019,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",90,42
2019,Class 15: Musical instruments,55,43
2019,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,37,44
2019,"Class 23: Yarns and threads, for textile use",36,45
2020,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",6406,1
2020,Class 35: Advertising; business management; business administration; office functions,5183,2
2020,Class 42: Scientific and technological services and research and design relating thereto etc.,4008,3
2020,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2965,4
2020,Class 41: Education; providing of training; entertainment; sporting and cultural activities,2855,5
2020,Class 5: Pharmaceutical and veterinary preparations etc.,2831,6
2020,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,1979,7
2020,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1815,8
2020,"Class 25: Clothing, footwear, headgear",1740,9
2020,Class 43: Services for providing food and drink; temporary accommodation,1625,10
2020,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1391,11
2020,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",1356,12
2020,"Class 16: Paper, cardboard etc.",1240,13
2020,Class 7: Machines and machine tools etc.,1129,14
2020,Class 38: Telecommunications,1050,15
2020,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,1030,16
2020,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",1026,17
2020,Class 21: Household or kitchen utensils and containers  etc.,932,18
2020,Class 28: Games and playthings; gymnastic and sporting articles etc.,925,19
2020,Class 18: Leather and imitations of leather etc.,897,20
2020,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,867,21
2020,Class 39: Transport; packaging and storage of goods; travel arrangement,845,22
2020,Class 37: Building construction; repair; installation services,825,23
2020,Class 1: Chemicals used in industry etc.,815,24
2020,"Class 12: Vehicles; apparatus for locomotion by land, air or water",704,25
2020,Class 14: Precious metals and their alloys etc.,677,26
2020,Class 33: Alcoholic beverages (except beers) etc.,671,27
2020,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,660,28
2020,"Class 20: Furniture, mirrors, picture frames etc.",654,29
2020,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",541,30
2020,Class 6: Common metals and their alloys etc.,497,31
2020,Class 40: Treatment of materials,458,32
2020,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",435,33
2020,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",324,34
2020,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,314,35
2020,"Class 4: Industrial oils and greases, lubricants etc.",304,36
2020,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,301,37
2020,"Class 2: Paints, varnishes, lacquers etc.",215,38
2020,Class 34: Tobacco; smokers' articles; matches,200,39
2020,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",132,40
2020,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",129,41
2020,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",95,42
2020,Class 15: Musical instruments,67,43
2020,"Class 23: Yarns and threads, for textile use",46,44
2020,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,38,45
2021,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",7076,1
2021,Class 35: Advertising; business management; business administration; office functions,5964,2
2021,Class 42: Scientific and technological services and research and design relating thereto etc.,4793,3
2021,Class 41: Education; providing of training; entertainment; sporting and cultural activities,3362,4
2021,Class 5: Pharmaceutical and veterinary preparations etc.,2960,5
2021,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2829,6
